OBJECTID,Number,Name,Code,Province,Region,Surface_Wa,Date,Year,Quarter,Time,Salinity_p,Lastest_WQ,Average_WQ,Quality_St,BOD_ppm,COD_ppm,EC_microS_,NH4_N_ppm,pH,Temp_Celsi,Turbidity_,station_la,station_lo
61,300,NK09,NK09,Chiang Rai,Northern,Mekong River,3/6/2025,2025,Q1,0:17:56,0.2,63.31364,63.31364,Moderate,0.77, ,360,1.2,8.13,28.3,18.3,20.168902,100.574694
62,334,KK03,KK03,Chiang Rai,Northern,Mae Kok River,2/3/2025,2025,Q1,0:17:56,0.1,34.6054792,34.6054792,Poor,3.53, ,202,2.46,7.88,25.4,73.3,19.9248025,99.8626451
63,344,WCR05,WCR05,Chiang Rai,Northern,Wiang Nong Lom,3/5/2025,2025,Q1,0:17:56,0,67.3037,67.3037,Moderate,2.76, ,39.7,0.2,6.99,26.5,579,20.2150551,100.0055579
64,399,KK02,KK02,Chiang Rai,Northern,Mae Kok River,2/4/2025,2025,Q1,0:17:56,0,56.48402,56.48402,Poor,0.15, ,153.2,0.08,7.84,26.5,83.5,20.12713042,100.0304967
65,453,WCR04,WCR04,Chiang Rai,Northern,Wiang Nong Lom,3/5/2025,2025,Q1,0:17:56,0,40.45476,40.45476,Poor,7.42, ,149.3,3.95,6.57,22.6,2874,20.1951145,99.9781407
66,468,KK04,KK04,Chiang Rai,Northern,Mae Kok River,2/3/2025,2025,Q1,0:17:56,0,53.78458,53.78458,Poor,1.9, ,130.3,0.2,8.14,26.5,118,19.9585059,99.6991227
67,498,EI02,EI02,Chiang Rai,Northern,Ing River,2/5/2025,2025,Q1,0:17:56,0,60.36032,60.36032,Poor,0.37, ,148.9,0.22,7.51,23.8,21.3,19.833156,100.200814
68,504,KK01,KK01,Chiang Rai,Northern,Mae Kok River,2/4/2025,2025,Q1,0:17:56,0,59.87296,59.87296,Poor,0.48, ,147.5,0,7.96,25.9,79.7,20.227738,100.128886
69,573,EI01,EI01,Chiang Rai,Northern,Ing River,2/5/2025,2025,Q1,0:17:56,0,55.45954,55.45954,Poor,0.56, ,190,0.2,7.4,22.1,14.8,20.137299,100.420057
70,579,NK10,NK10,Chiang Rai,Northern,Mekong River,3/6/2025,2025,Q1,0:17:56,0.2,57.215816,57.215816,Poor,0.85, ,332,1.57,7.99,24.3,18,20.276106,100.088551
