OBJECTID,Number,Name,Code,Province,Region,Surface_Wa,Date,Year,Quarter,Time,Salinity_p,Lastest_WQ,Average_WQ,Quality_St,BOD_ppm,COD_ppm,EC_microS_,NH4_N_ppm,pH,Temp_Celsi,Turbidity_,station_la,station_lo
11,369,LD2,LD2,Ubon Ratchathani,Northeastern,Lam Dom Yai,2/14/2024,2024,Q1,0:17:56,0,70.023912,70.023912,Moderate,1.1, ,86,0.36,6.7,30.2,3.3,14.900369,105.080195
12,425,MU06,MU06,Ubon Ratchathani,Northeastern,Mun River,2/19/2024,2024,Q1,0:17:56,0.1,68.980928,68.980928,Moderate,0.9, ,332,0.56,7.2,32.6,4.9,15.222686,104.857265
13,456,CI02,CI02,Ubon Ratchathani,Northeastern,Lam Chiang Krai,2/11/2024,2024,Q1,0:17:56,0,69.55548,69.55548,Moderate,1.3, ,288,0.3,7.6,28.6,11.7,15.311707,104.436763
14,496,MU05,MU05,Ubon Ratchathani,Northeastern,Mun River,2/19/2024,2024,Q1,0:17:56,0.1,69.170092,69.170092,Moderate,1.9, ,317,0.36,7,32.5,8.8,15.243306,104.954793
15,517,MU03,MU03,Ubon Ratchathani,Northeastern,Mun River,2/20/2024,2024,Q1,0:17:56,0,73.9402,73.9402,Good,1.1, ,236,0.3,8,31.5,2.2,15.271514,105.457561
16,546,LD3,LD3,Ubon Ratchathani,Northeastern,Lam Dom Yai,2/14/2024,2024,Q1,0:17:56,0,54.178718,54.178718,Poor,5.1, ,28.7,0.42,6.8,31.6,2.5,14.492911,105.135185
17,9,MU07,MU07,Ubon Ratchathani,Northeastern,Mun River,5/20/2024,2024,Q2,0:17:56,0,71.92328,71.92328,Good,1.7, ,269,0.11,7.5,29.7,1.9,15.206093,104.813639
18,41,LD1,LD1,Ubon Ratchathani,Northeastern,Lam Dom Yai,5/15/2024,2024,Q2,0:17:56,0,71.06548,71.06548,Good,0.7, ,93.4,0.25,7.9,32.1,5.3,15.233948,105.160896
19,51,LSB1,LSB1,Ubon Ratchathani,Northeastern,Lam Sae Bai,5/22/2024,2024,Q2,0:17:56,0,64.259416,64.259416,Moderate,1.8, ,227,0.28,7.7,29.3,18.1,15.32769,104.681849
20,202,NK01,NK01,Ubon Ratchathani,Northeastern,Mekong River,5/14/2024,2024,Q2,0:17:56,0.1,75.02232,75.02232,Good,1.1, ,369,0.25,8.3,33,9.2,15.320425,105.557412
21,226,MU08,MU08,Ubon Ratchathani,Northeastern,Mun River,5/20/2024,2024,Q2,0:17:56,0,61.98676,61.98676,Moderate,2.4, ,276,0.22,7.3,30.8,4.6,15.182123,104.714926
22,236,NK02,NK02,Ubon Ratchathani,Northeastern,Mekong River,5/14/2024,2024,Q2,0:17:56,0.1,82.44488,82.44488,Good,0.6, ,430,0.22,8.6,32.1,12.5,16.036174,105.290887
23,269,CI01,CI01,Ubon Ratchathani,Northeastern,Lam Chiang Krai,5/12/2024,2024,Q2,0:17:56,0,66.46334,66.46334,Moderate,2.2, ,205,0.16,6.5,33,15,15.18436,104.715052
24,285,MU02,MU02,Ubon Ratchathani,Northeastern,Mun River,5/21/2024,2024,Q2,0:17:56,0,63.37838,63.37838,Moderate,2.5, ,261,0.22,7.9,27.7,10,15.288511,105.467409
25,339,MU01,MU01,Ubon Ratchathani,Northeastern,Mun River,5/21/2024,2024,Q2,0:17:56,0,79.36522,79.36522,Good,1.4, ,257,0.22,7.7,28,10.1,15.314934,105.503058
26,358,MU04,MU04,Ubon Ratchathani,Northeastern,Mun River,5/21/2024,2024,Q2,0:17:56,0,69.63424,69.63424,Moderate,1.4, ,266,0.25,7.4,28.6,19.3,15.249888,105.239367
27,369,LD2,LD2,Ubon Ratchathani,Northeastern,Lam Dom Yai,5/15/2024,2024,Q2,0:17:56,0,80.52518,80.52518,Good,0.8, ,137,0.22,8.5,30.1,3.4,14.900369,105.080195
28,425,MU06,MU06,Ubon Ratchathani,Northeastern,Mun River,5/20/2024,2024,Q2,0:17:56,0,80.76136,80.76136,Good,1.5, ,281,0.16,7.9,29.9,20.8,15.222686,104.857265
29,456,CI02,CI02,Ubon Ratchathani,Northeastern,Lam Chiang Krai,5/12/2024,2024,Q2,0:17:56,0,86.71208,86.71208,Good,0.5, ,211,0.16,7,33.9,12.2,15.311707,104.436763
30,496,MU05,MU05,Ubon Ratchathani,Northeastern,Mun River,5/20/2024,2024,Q2,0:17:56,0,69.468696,69.468696,Moderate,1.2, ,265,0.28,7.5,29.6,23.4,15.243306,104.954793
31,517,MU03,MU03,Ubon Ratchathani,Northeastern,Mun River,5/21/2024,2024,Q2,0:17:56,0,63.0891,63.0891,Moderate,2.9, ,264,0.19,7.8,27.3,19.7,15.271514,105.457561
32,546,LD3,LD3,Ubon Ratchathani,Northeastern,Lam Dom Yai,5/15/2024,2024,Q2,0:17:56,0,60.37416,60.37416,Poor,2.9, ,56.8,0.16,8.7,29.6,5.3,14.492911,105.135185
33,9,MU07,MU07,Ubon Ratchathani,Northeastern,Mun River,8/14/2024,2024,Q3,0:17:56,0,69.1209,69.1209,Moderate,1.1, ,187,0.3,6.9,29.4,61.4,15.206093,104.813639
34,41,LD1,LD1,Ubon Ratchathani,Northeastern,Lam Dom Yai,8/22/2024,2024,Q3,0:17:56,0,61.22736,61.22736,Moderate,2.5, ,87,0.16,6.8,30.2,20.6,15.233948,105.160896
35,51,LSB1,LSB1,Ubon Ratchathani,Northeastern,Lam Sae Bai,8/25/2024,2024,Q3,0:17:56,0,64.71258,64.71258,Moderate,2, ,110,0.22,6.5,29.2,39.6,15.32769,104.681849
36,202,NK01,NK01,Ubon Ratchathani,Northeastern,Mekong River,8/20/2024,2024,Q3,0:17:56,0,71.3684,71.3684,Good,1.5, ,267,0.25,7.3,28.6,328,15.320425,105.557412
37,226,MU08,MU08,Ubon Ratchathani,Northeastern,Mun River,8/14/2024,2024,Q3,0:17:56,0,74.019236,74.019236,Good,0.7, ,162,0.28,7.3,30.2,28.8,15.182123,104.714926
38,236,NK02,NK02,Ubon Ratchathani,Northeastern,Mekong River,8/20/2024,2024,Q3,0:17:56,0,82.82002,82.82002,Good,1.1, ,278,0.22,7.2,28.4,294,16.036174,105.290887
39,269,CI01,CI01,Ubon Ratchathani,Northeastern,Lam Chiang Krai,8/12/2024,2024,Q3,0:17:56,0,75.49016,75.49016,Good,0.5, ,187,0.25,7.2,29.3,133,15.18436,104.715052
40,285,MU02,MU02,Ubon Ratchathani,Northeastern,Mun River,8/15/2024,2024,Q3,0:17:56,0,75.275876,75.275876,Good,0.5, ,143,0.28,6.3,30.2,74.2,15.288511,105.467409
41,339,MU01,MU01,Ubon Ratchathani,Northeastern,Mun River,8/15/2024,2024,Q3,0:17:56,0,83.98382,83.98382,Good,0.9, ,187,0.22,6.5,29.5,47.7,15.314934,105.503058
42,358,MU04,MU04,Ubon Ratchathani,Northeastern,Mun River,8/15/2024,2024,Q3,0:17:56,0,84.40562,84.40562,Good,0.7, ,162,0.16,6.9,29.6,49.4,15.249888,105.239367
43,369,LD2,LD2,Ubon Ratchathani,Northeastern,Lam Dom Yai,8/22/2024,2024,Q3,0:17:56,0,69.068396,69.068396,Moderate,1.7, ,96,0.28,6.9,30.5,16.7,14.900369,105.080195
44,425,MU06,MU06,Ubon Ratchathani,Northeastern,Mun River,8/14/2024,2024,Q3,0:17:56,0,70.21998,70.21998,Moderate,0.6, ,184,0.25,6.5,30,71,15.222686,104.857265
45,456,CI02,CI02,Ubon Ratchathani,Northeastern,Lam Chiang Krai,8/12/2024,2024,Q3,0:17:56,0,75.629716,75.629716,Good,0.2, ,215,0.28,7.2,29,134,15.311707,104.436763
46,496,MU05,MU05,Ubon Ratchathani,Northeastern,Mun River,8/14/2024,2024,Q3,0:17:56,0,78.6925,78.6925,Good,1.3, ,159,0.19,6.6,30.1,74.7,15.243306,104.954793
47,517,MU03,MU03,Ubon Ratchathani,Northeastern,Mun River,8/15/2024,2024,Q3,0:17:56,0,71.10742,71.10742,Good,1.3, ,137,0.25,6.5,30.5,55.3,15.271514,105.457561
48,546,LD3,LD3,Ubon Ratchathani,Northeastern,Lam Dom Yai,8/22/2024,2024,Q3,0:17:56,0,70.98176,70.98176,Good,1.5, ,78,0.25,6.8,30.6,38.4,14.492911,105.135185
49,9,MU07,MU07,Ubon Ratchathani,Northeastern,Mun River,11/18/2024,2024,Q4,0:17:56,0.1,85,85,Good,0.4, ,386,0.22,6.8,30.2,31.1,15.206093,104.813639
50,41,LD1,LD1,Ubon Ratchathani,Northeastern,Lam Dom Yai,11/13/2024,2024,Q4,0:17:56,0,68,68,Moderate,1.3, ,60.3,0.28,7.4,28.7,50.2,15.233948,105.160896
51,51,LSB1,LSB1,Ubon Ratchathani,Northeastern,Lam Sae Bai,11/20/2024,2024,Q4,0:17:56,0,85,85,Good,0.4, ,140,0.19,7.1,28.6,25.3,15.32769,104.681849
52,202,NK01,NK01,Ubon Ratchathani,Northeastern,Mekong River,11/12/2024,2024,Q4,0:17:56,0,63,63,Moderate,3.4, ,298,0.19,7.9,28,83.2,15.320425,105.557412
53,226,MU08,MU08,Ubon Ratchathani,Northeastern,Mun River,11/18/2024,2024,Q4,0:17:56,0.2,85,85,Good,0.4, ,421,0.16,7.6,29.6,35.5,15.182123,104.714926
54,236,NK02,NK02,Ubon Ratchathani,Northeastern,Mekong River,11/12/2024,2024,Q4,0:17:56,0,55,55,Poor,4.1, ,296,0.25,7.6,27.6,55.1,16.036174,105.290887
55,269,CI01,CI01,Ubon Ratchathani,Northeastern,Lam Chiang Krai,11/10/2024,2024,Q4,0:17:56,0,64,64,Moderate,3.3, ,316,0.16,7.2,29.3,85.3,15.18436,104.715052
56,285,MU02,MU02,Ubon Ratchathani,Northeastern,Mun River,11/19/2024,2024,Q4,0:17:56,0,89,89,Good,0.3, ,306,0.16,7.2,29.1,32.6,15.288511,105.467409
57,339,MU01,MU01,Ubon Ratchathani,Northeastern,Mun River,11/19/2024,2024,Q4,0:17:56,0.1,86,86,Good,0.2, ,375,0.19,6.8,28.6,62,15.314934,105.503058
58,358,MU04,MU04,Ubon Ratchathani,Northeastern,Mun River,11/19/2024,2024,Q4,0:17:56,0.1,74,74,Good,0.3, ,338,0.25,6.9,28.4,27.7,15.249888,105.239367
59,369,LD2,LD2,Ubon Ratchathani,Northeastern,Lam Dom Yai,11/13/2024,2024,Q4,0:17:56,0,67,67,Moderate,1.7, ,66.7,0.31,7.6,28.4,67.3,14.900369,105.080195
60,425,MU06,MU06,Ubon Ratchathani,Northeastern,Mun River,11/18/2024,2024,Q4,0:17:56,0.2,73,73,Good,0.2, ,412,0.25,7.3,30.4,61.7,15.222686,104.857265
61,456,CI02,CI02,Ubon Ratchathani,Northeastern,Lam Chiang Krai,11/10/2024,2024,Q4,0:17:56,0,61,61,Moderate,3.5, ,307,0.28,6.8,28.5,59.7,15.311707,104.436763
62,496,MU05,MU05,Ubon Ratchathani,Northeastern,Mun River,11/18/2024,2024,Q4,0:17:56,0.1,77,77,Good,0.3, ,376,0.28,7.3,30.2,83.1,15.243306,104.954793
63,517,MU03,MU03,Ubon Ratchathani,Northeastern,Mun River,11/19/2024,2024,Q4,0:17:56,0,77,77,Good,0.2, ,308,0.31,7.1,29.3,21.9,15.271514,105.457561
64,546,LD3,LD3,Ubon Ratchathani,Northeastern,Lam Dom Yai,11/13/2024,2024,Q4,0:17:56,0,69,69,Moderate,1.8, ,58.5,0.25,7.2,28.6,18.8,14.492911,105.135185
